2026-09-19 15:53:56 | GET / | 200 OK | sent=341 bytes | elapsed=7 ms
2026-09-19 15:53:56 | GET /style.css | 200 OK | sent=234 bytes | elapsed=17 ms
2026-09-19 15:53:56 | GET /favicon.ico | 404 Not Found | sent=123 bytes | elapsed=0 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2205 bytes | elapsed=0 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2205 bytes | elapsed=2 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2205 bytes | elapsed=1 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2205 bytes | elapsed=2 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2205 bytes | elapsed=2 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2205 bytes | elapsed=2 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2205 bytes | elapsed=2 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2205 bytes | elapsed=1 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2205 bytes | elapsed=1 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2213 bytes | elapsed=2 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2213 bytes | elapsed=1 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2213 bytes | elapsed=2 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2205 bytes | elapsed=4 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2213 bytes | elapsed=2 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2213 bytes | elapsed=1 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2213 bytes | elapsed=2 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2213 bytes | elapsed=1 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2213 bytes | elapsed=2 ms
2026-09-21 15:43:29 | POST /echo | 200 ok | sent=2213 bytes | elapsed=1 ms
